email_text,email_version,weekday,user_country,opened,clicked,hour_bin,purchase_bin,pred_proba
short_email,personalized,Thursday,US,0,0,Night,3-5,0.6281423753053282
long_email,personalized,Sunday,US,0,0,Morning,1-2,0.5017431749039825
long_email,generic,Tuesday,US,0,0,Afternoon,6-10,0.32097202066487696
long_email,personalized,Thursday,UK,0,0,Night,3-5,0.3481322246213538
short_email,personalized,Wednesday,US,1,0,Morning,6-10,0.6248170897231878
long_email,personalized,Tuesday,US,0,0,Night,3-5,0.7125212983235865
short_email,personalized,Sunday,US,0,0,Evening,3-5,0.7997226089603767
long_email,personalized,Saturday,US,0,0,Morning,3-5,0.6121033382406349
short_email,generic,Tuesday,US,0,0,Morning,6-10,0.42029041738096296
short_email,personalized,Friday,US,1,0,Night,6-10,0.6229060160483728
long_email,personalized,Saturday,US,0,0,Morning,1-2,0.3290574993777346
short_email,generic,Saturday,US,0,0,Morning,11+,0.3501824713331555
long_email,personalized,Wednesday,US,0,0,Night,3-5,0.6586270492346994
short_email,generic,Saturday,US,0,0,Morning,3-5,0.41864564196083115
long_email,personalized,Sunday,US,0,0,Morning,1-2,0.5017431749039825
short_email,personalized,Wednesday,US,0,0,Night,6-10,0.5797490880875703
long_email,personalized,Saturday,US,0,0,Afternoon,3-5,0.7577348498234319
long_email,personalized,Thursday,US,0,0,Morning,6-10,0.33730179199787924
long_email,personalized,Wednesday,US,0,0,Morning,6-10,0.4322170061493289
short_email,personalized,Monday,US,0,0,Night,3-5,0.6180961052865837
short_email,generic,Tuesday,UK,0,0,Night,6-10,0.45901616931844097
long_email,generic,Saturday,US,0,0,Night,6-10,0.5480773210935989
short_email,generic,Wednesday,US,0,0,Night,6-10,0.4594650759035233
short_email,generic,Friday,UK,0,0,Night,11+,0.759067844543045
short_email,personalized,Tuesday,UK,0,0,Morning,6-10,0.5037132634996212
short_email,personalized,Wednesday,US,0,0,Morning,6-10,0.6248170897231878
short_email,personalized,Monday,UK,1,0,Night,3-5,0.4926483660807846
short_email,personalized,Friday,FR,0,0,Afternoon,1-2,0.36894736106945525
short_email,generic,Wednesday,UK,0,0,Night,3-5,0.4438280545025664
short_email,personalized,Wednesday,US,0,0,Afternoon,3-5,0.7574233831485649
long_email,personalized,Wednesday,US,0,0,Afternoon,3-5,0.5971720344420057
short_email,personalized,Tuesday,US,0,0,Morning,3-5,0.6349977718772061
short_email,personalized,Wednesday,US,0,0,Night,6-10,0.5797490880875703
long_email,generic,Saturday,US,1,0,Morning,6-10,0.40979199266300176
short_email,personalized,Sunday,US,0,0,Afternoon,6-10,0.6977735741190939
long_email,generic,Thursday,UK,0,0,Morning,3-5,0.36229320881016525
long_email,personalized,Thursday,US,0,0,Morning,6-10,0.33730179199787924
long_email,generic,Saturday,US,0,0,Night,3-5,0.688626512206378
short_email,personalized,Tuesday,US,1,0,Morning,6-10,0.5863310802990516
short_email,personalized,Thursday,US,0,0,Night,6-10,0.5133176947866701
long_email,personalized,Saturday,US,0,0,Night,3-5,0.7353555371690296
short_email,personalized,Friday,US,0,0,Night,6-10,0.6229060160483728
long_email,generic,Sunday,US,0,0,Morning,6-10,0.4273957511719436
short_email,generic,Saturday,US,1,1,Afternoon,3-5,0.7531029191370574
long_email,generic,Thursday,UK,0,0,Morning,3-5,0.36229320881016525
short_email,personalized,Saturday,US,0,0,Morning,6-10,0.6346216502274549
short_email,personalized,Friday,UK,0,0,Night,1-2,0.601240207808662
long_email,personalized,Thursday,UK,0,0,Afternoon,6-10,0.4630577519809108
short_email,personalized,Saturday,UK,0,0,Night,6-10,0.5565217969417071
short_email,personalized,Friday,US,0,0,Afternoon,6-10,0.6245744430354967
long_email,personalized,Saturday,US,0,0,Night,6-10,0.614499687441826
long_email,personalized,Tuesday,US,0,0,Afternoon,1-2,0.5036664354758927
short_email,personalized,Tuesday,US,0,0,Morning,3-5,0.6349977718772061
short_email,generic,Wednesday,US,0,0,Night,3-5,0.47487821325760554
short_email,generic,Saturday,US,0,0,Afternoon,3-5,0.7531029191370574
short_email,personalized,Wednesday,US,0,0,Morning,3-5,0.6735235001027445
long_email,personalized,Thursday,US,0,0,Morning,6-10,0.33730179199787924
long_email,personalized,Thursday,US,0,0,Night,6-10,0.37618548580597966
long_email,personalized,Friday,US,0,0,Morning,1-2,0.3919876313086182
long_email,personalized,Sunday,US,0,0,Morning,3-5,0.6127194005301457
short_email,personalized,Thursday,UK,0,0,Night,6-10,0.5662774630302976
long_email,generic,Tuesday,US,0,0,Morning,3-5,0.332289786965252
short_email,personalized,Tuesday,US,0,0,Morning,6-10,0.5863310802990516
long_email,personalized,Tuesday,US,0,0,Afternoon,3-5,0.7576789322582915
long_email,generic,Saturday,US,0,0,Night,3-5,0.688626512206378
short_email,personalized,Friday,US,1,1,Night,6-10,0.6229060160483728
short_email,generic,Sunday,UK,0,0,Afternoon,3-5,0.7246357519765959
short_email,generic,Thursday,UK,0,0,Night,3-5,0.37624865417585596
short_email,generic,Thursday,UK,0,0,Morning,3-5,0.3726562758778066
long_email,personalized,Friday,UK,0,0,Morning,3-5,0.4581595666205656
long_email,personalized,Saturday,FR,0,0,Afternoon,3-5,0.549635848855489
long_email,personalized,Sunday,US,0,0,Afternoon,6-10,0.6607068521443974
long_email,generic,Saturday,US,1,0,Night,6-10,0.5480773210935989
short_email,personalized,Tuesday,US,0,0,Morning,6-10,0.5863310802990516
long_email,personalized,Tuesday,US,0,0,Night,3-5,0.7125212983235865
short_email,generic,Wednesday,US,0,0,Morning,6-10,0.41949856047170964
short_email,personalized,Saturday,US,0,0,Night,3-5,0.8153451297197495
long_email,personalized,Thursday,US,0,0,Afternoon,11+,0.5633965060003207
long_email,personalized,Tuesday,US,0,0,Night,1-2,0.39004660798029134
short_email,generic,Monday,US,0,0,Morning,6-10,0.34676104713183803
short_email,personalized,Friday,UK,0,0,Night,1-2,0.601240207808662
long_email,personalized,Monday,US,0,0,Morning,6-10,0.43635052226514276
short_email,personalized,Tuesday,US,0,0,Afternoon,3-5,0.7507414030073022
long_email,personalized,Tuesday,US,0,0,Morning,6-10,0.4489830470632699
long_email,generic,Thursday,US,0,0,Morning,11+,0.3877110171730985
short_email,personalized,Friday,US,0,0,Morning,6-10,0.633323473154612
long_email,personalized,Tuesday,US,1,1,Morning,1-2,0.5450965417422567
short_email,personalized,Sunday,US,0,0,Night,1-2,0.5191393926207133
short_email,personalized,Saturday,UK,0,0,Morning,3-5,0.3900726486733218
long_email,generic,Wednesday,US,0,0,Morning,3-5,0.31128431606641926
long_email,personalized,Thursday,UK,0,0,Morning,3-5,0.31087154190748306
short_email,personalized,Tuesday,US,0,0,Afternoon,3-5,0.7507414030073022
short_email,personalized,Thursday,US,1,1,Night,11+,0.7468286192099858
short_email,generic,Thursday,US,0,0,Morning,3-5,0.5317326336039205
short_email,personalized,Saturday,US,0,0,Afternoon,3-5,0.8381221252733164
short_email,personalized,Monday,UK,0,0,Night,3-5,0.4926483660807846
short_email,generic,Monday,US,0,0,Night,6-10,0.49848246506524824
long_email,personalized,Thursday,US,0,0,Morning,6-10,0.33730179199787924
short_email,generic,Sunday,US,0,0,Morning,6-10,0.3205799625262764
short_email,personalized,Thursday,US,1,0,Morning,1-2,0.6085563213147315
long_email,personalized,Sunday,UK,0,0,Morning,6-10,0.4867857663601398
long_email,personalized,Tuesday,US,0,0,Morning,3-5,0.7119791175624354
long_email,personalized,Tuesday,US,0,0,Morning,3-5,0.7119791175624354
short_email,personalized,Saturday,US,0,0,Night,3-5,0.8153451297197495
short_email,personalized,Sunday,UK,0,0,Afternoon,3-5,0.8082702897587071
short_email,generic,Sunday,UK,1,0,Afternoon,11+,0.5875145278692007
short_email,personalized,Thursday,US,0,0,Night,6-10,0.5133176947866701
long_email,personalized,Friday,UK,0,0,Night,3-5,0.3502739303500985
short_email,personalized,Sunday,US,0,0,Night,3-5,0.6900999305166832
short_email,personalized,Wednesday,US,0,0,Morning,1-2,0.6511811275908616
short_email,personalized,Friday,FR,0,0,Night,6-10,0.3160975933284391
long_email,personalized,Tuesday,US,0,0,Morning,6-10,0.4489830470632699
short_email,personalized,Tuesday,FR,0,0,Afternoon,6-10,0.39096880474477663
long_email,personalized,Thursday,US,0,0,Afternoon,6-10,0.46926926876127945
short_email,generic,Tuesday,UK,0,0,Morning,6-10,0.41080790181211424
short_email,generic,Thursday,US,0,0,Morning,3-5,0.5317326336039205
short_email,personalized,Sunday,US,0,0,Afternoon,6-10,0.6977735741190939
long_email,generic,Sunday,US,1,0,Night,3-5,0.5963150338905644
short_email,personalized,Thursday,US,0,0,Evening,1-2,0.33817956562530255
long_email,generic,Sunday,US,0,0,Night,6-10,0.5166158335633163
short_email,personalized,Thursday,US,1,0,Morning,1-2,0.6085563213147315
short_email,personalized,Tuesday,US,0,0,Night,1-2,0.6441242442098507
short_email,personalized,Wednesday,US,0,0,Morning,1-2,0.6511811275908616
long_email,generic,Tuesday,US,0,0,Afternoon,1-2,0.31659418342237233
long_email,generic,Thursday,UK,0,0,Afternoon,6-10,0.35306303241219267
short_email,personalized,Monday,US,0,0,Morning,11+,0.4130356364997344
short_email,personalized,Tuesday,US,0,0,Morning,6-10,0.5863310802990516
short_email,generic,Thursday,US,1,0,Morning,11+,0.40436773163303136
long_email,personalized,Friday,US,0,0,Night,3-5,0.7787540185002365
short_email,personalized,Saturday,UK,0,0,Night,6-10,0.5565217969417071
short_email,generic,Friday,US,0,0,Night,6-10,0.4523462801621983
short_email,personalized,Sunday,US,0,0,Morning,6-10,0.4931109678497853
short_email,personalized,Saturday,UK,0,0,Morning,1-2,0.313130081744225
short_email,generic,Saturday,US,0,0,Night,3-5,0.4972992315776819
short_email,personalized,Sunday,UK,0,0,Night,3-5,0.7322710133703019
long_email,generic,Friday,US,0,0,Night,3-5,0.6231485187810086
long_email,personalized,Thursday,UK,1,0,Afternoon,6-10,0.4630577519809108
long_email,generic,Sunday,US,0,0,Night,6-10,0.5166158335633163
short_email,personalized,Friday,US,0,0,Night,1-2,0.6627273196998693
short_email,personalized,Friday,US,0,0,Night,1-2,0.6627273196998693
long_email,generic,Saturday,UK,0,0,Night,3-5,0.409547472840188
short_email,generic,Thursday,UK,0,0,Night,6-10,0.3664945017173582
long_email,personalized,Monday,US,1,1,Night,6-10,0.5006125907047736
short_email,generic,Sunday,US,0,0,Afternoon,3-5,0.7288740269429757
short_email,personalized,Wednesday,US,0,0,Night,3-5,0.7285692224232091
short_email,generic,Monday,UK,0,0,Night,3-5,0.5114847010801973
short_email,personalized,Friday,US,1,0,Morning,6-10,0.633323473154612
short_email,generic,Wednesday,US,0,0,Morning,6-10,0.41949856047170964
long_email,generic,Friday,US,0,0,Morning,3-5,0.5580312409040658
long_email,personalized,Monday,UK,0,0,Night,6-10,0.6434513987588696
short_email,personalized,Saturday,US,0,0,Night,6-10,0.685874357435533
long_email,generic,Friday,US,0,0,Afternoon,6-10,0.45954819570655014
short_email,personalized,Wednesday,US,0,0,Afternoon,3-5,0.7574233831485649
long_email,personalized,Sunday,US,1,0,Night,1-2,0.5758006763038948
short_email,generic,Saturday,US,0,0,Night,6-10,0.5142885812713758
short_email,generic,Saturday,US,0,0,Afternoon,6-10,0.5027278411035192
short_email,generic,Sunday,US,0,0,Afternoon,6-10,0.56419102769703
long_email,personalized,Saturday,US,0,0,Night,6-10,0.614499687441826
long_email,generic,Thursday,US,0,0,Afternoon,6-10,0.3645345980366103
long_email,generic,Wednesday,US,0,0,Night,3-5,0.33485889853531803
short_email,personalized,Tuesday,UK,0,0,Morning,1-2,0.4422352320589258
short_email,personalized,Wednesday,US,0,0,Morning,1-2,0.6511811275908616
short_email,generic,Sunday,UK,0,0,Afternoon,3-5,0.7246357519765959
short_email,generic,Wednesday,UK,1,0,Afternoon,3-5,0.5258245227322594
long_email,personalized,Sunday,UK,0,0,Night,6-10,0.3359934416138458
short_email,generic,Tuesday,US,0,0,Morning,6-10,0.42029041738096296
long_email,personalized,Thursday,US,0,0,Morning,6-10,0.33730179199787924
short_email,generic,Friday,US,0,0,Morning,11+,0.36214322242107
short_email,generic,Friday,US,0,0,Night,3-5,0.5962598289778905
short_email,generic,Sunday,US,1,0,Morning,3-5,0.4107053858905531
long_email,personalized,Saturday,US,0,0,Morning,6-10,0.5453265308666994
short_email,generic,Sunday,US,0,0,Morning,3-5,0.4107053858905531
long_email,personalized,Tuesday,US,0,0,Night,1-2,0.39004660798029134
long_email,generic,Tuesday,US,0,0,Night,3-5,0.43927194944822673
short_email,personalized,Wednesday,UK,0,0,Morning,3-5,0.5089486706352836
short_email,personalized,Thursday,US,0,0,Night,11+,0.7468286192099858
long_email,personalized,Tuesday,US,0,0,Morning,3-5,0.7119791175624354
long_email,personalized,Wednesday,FR,0,0,Afternoon,1-2,0.3299146600803736
short_email,personalized,Sunday,UK,0,0,Morning,6-10,0.4086438179970643
long_email,personalized,Friday,UK,0,0,Night,11+,0.6068280903845101
long_email,personalized,Friday,US,0,0,Morning,1-2,0.3919876313086182
long_email,personalized,Monday,US,0,0,Morning,6-10,0.43635052226514276
short_email,generic,Wednesday,US,0,0,Morning,6-10,0.41949856047170964
short_email,personalized,Tuesday,UK,0,0,Morning,3-5,0.4746694072173348
long_email,personalized,Sunday,US,0,0,Night,6-10,0.6773795441556518
long_email,personalized,Friday,US,0,0,Morning,3-5,0.7351927726428115
short_email,personalized,Wednesday,UK,0,0,Afternoon,6-10,0.63972857310126
long_email,personalized,Tuesday,US,0,0,Night,1-2,0.39004660798029134
short_email,personalized,Sunday,US,0,0,Night,1-2,0.5191393926207133
short_email,generic,Friday,US,1,0,Afternoon,6-10,0.4889461635665864
long_email,personalized,Sunday,US,0,0,Morning,1-2,0.5017431749039825
long_email,personalized,Monday,US,0,0,Night,6-10,0.5006125907047736
short_email,generic,Saturday,US,0,0,Night,3-5,0.4972992315776819
short_email,personalized,Sunday,US,1,0,Night,6-10,0.6794933359146268
long_email,personalized,Wednesday,US,0,0,Night,3-5,0.6586270492346994
long_email,personalized,Monday,US,0,0,Afternoon,3-5,0.7305320524279756
long_email,generic,Sunday,US,0,0,Night,3-5,0.5963150338905644
long_email,personalized,Wednesday,US,0,0,Morning,3-5,0.5821455409600599
short_email,personalized,Wednesday,UK,0,0,Morning,3-5,0.5089486706352836
long_email,personalized,Wednesday,UK,0,0,Morning,6-10,0.49868462427780025
long_email,personalized,Wednesday,UK,0,0,Night,1-2,0.30604724785221665
long_email,generic,Saturday,US,0,0,Morning,3-5,0.6915514234977151
short_email,generic,Monday,UK,0,0,Morning,3-5,0.3841269269042343
short_email,personalized,Thursday,US,0,0,Afternoon,6-10,0.5869316193546836
short_email,generic,Tuesday,UK,0,0,Night,3-5,0.7695482757609993
short_email,personalized,Wednesday,UK,0,0,Evening,3-5,0.47040968331423777
short_email,personalized,Sunday,ES,0,0,Night,6-10,0.3010189413603606
short_email,personalized,Saturday,US,1,0,Night,3-5,0.8153451297197495
short_email,generic,Saturday,US,1,0,Morning,6-10,0.3636002093062599
short_email,personalized,Friday,UK,0,0,Morning,3-5,0.4250355879852056
long_email,generic,Sunday,US,0,0,Night,6-10,0.5166158335633163
short_email,generic,Tuesday,UK,1,1,Morning,11+,0.4556425545086503
long_email,personalized,Sunday,US,1,0,Afternoon,6-10,0.6607068521443974
short_email,generic,Monday,US,0,0,Night,6-10,0.49848246506524824
short_email,personalized,Saturday,ES,0,0,Morning,6-10,0.3346468738179522
long_email,personalized,Sunday,US,0,0,Morning,6-10,0.604924581128346
long_email,generic,Friday,US,0,0,Evening,6-10,0.3987551212639227
short_email,personalized,Wednesday,US,0,0,Morning,3-5,0.6735235001027445
